timestamp [UTC],id,operation_Id,operation_ParentId,itemType,operation_Name,cloud_RoleName,cloud_RoleInstance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:55.044 PM",ba2635c77bf4994f,615f9558233870438c27e38b47cc3a34,edd0410f65f59c4d,dependency,,Order Worker,34acdc164e5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:54.870 PM",d29dc02d3d79774c,615f9558233870438c27e38b47cc3a34,899b683d7bb3fe4c,request,GET Bacon/Get,Bacon API,806b6dad956e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:54.869 PM",899b683d7bb3fe4c,615f9558233870438c27e38b47cc3a34,a022fc2215dd9c4f,dependency,,Order Worker,34acdc164e5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:54.860 PM",a022fc2215dd9c4f,615f9558233870438c27e38b47cc3a34,edd0410f65f59c4d,request,Get Bacon,Order Worker,34acdc164e5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:54.399 PM",212bb58d6be76d47,615f9558233870438c27e38b47cc3a34,4aa4557db4d4c54f,request,GET Bacon/Get,Bacon API,806b6dad956e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:54.398 PM",4aa4557db4d4c54f,615f9558233870438c27e38b47cc3a34,af152c70ec2aef42,dependency,,Order Worker,34acdc164e5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:54.391 PM",af152c70ec2aef42,615f9558233870438c27e38b47cc3a34,edd0410f65f59c4d,request,Get Bacon,Order Worker,34acdc164e5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:54.376 PM",edd0410f65f59c4d,615f9558233870438c27e38b47cc3a34,d3be0a5eee4c884b,request,,Order Worker,34acdc164e5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:54.008 PM",,615f9558233870438c27e38b47cc3a34,6958a1f362594140,customMetric,GET Bacon/Get,Bacon API,806b6dad956e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6/15/2021, 12:39:54.803 PM",,615f9558233870438c27e38b47cc3a34,212bb58d6be76d47,customMetric,GET Bacon/Get,Bacon API,806b6dad956e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
