timestamp [UTC],id,source,name,url,success,resultCode,duration,performanceBucket,itemType,customDimensions,customMeasurements,operation_Name,operation_Id,operation_ParentId,cloud_RoleName,cloud_RoleInstance,target,type,data
"8/3/2021, 8:22:16.019 AM",23646bdc2de1ba45,,Complete,,TRUE,,177.573,<250ms,dependency,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Dependencies', Ver:'1.1')"",""DeveloperMode"":""true""}",,,ddaa324e6491294f9f74e78ef2ac1a37,58414b7d6aabc144,Order Worker,3ae73f32a155,sb://arcus-observability-new-telemetry-verification.servicebus.windows.net/ | orders,Azure Service Bus,
"8/3/2021, 8:22:15.753 AM",35806211144ca64b,,GET Bacon/Get,http://arcus.api.bacon:999/api/v1/bacon,TRUE,200,187.0867,<250ms,request,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Development"",""DeveloperMode"":""true""}",,GET Bacon/Get,ddaa324e6491294f9f74e78ef2ac1a37,d42a3ace0faa6d4c,Bacon API,c04978ed130c,,,
"8/3/2021, 8:22:15.741 AM",d42a3ace0faa6d4c,,GET /api/v1/bacon,,TRUE,200,199.1065,<250ms,dependency,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Dependencies', Ver:'1.1')"",""DeveloperMode"":""true""}",,,ddaa324e6491294f9f74e78ef2ac1a37,be1d91cd738bad46,Order Worker,3ae73f32a155,arcus.api.bacon:999,HTTP,http://Arcus.API.Bacon:999/api/v1/bacon
"8/3/2021, 8:22:15.731 AM",be1d91cd738bad46,,Get Bacon,,TRUE,200,245.029,<250ms,request,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""DeveloperMode"":""true""}",,Get Bacon,ddaa324e6491294f9f74e78ef2ac1a37,58414b7d6aabc144,Order Worker,3ae73f32a155,,,
"8/3/2021, 8:22:15.411 AM",58414b7d6aabc144,type:Azure Service Bus | name:orders | endpoint:sb://arcus-observability-new-telemetry-verification.servicebus.windows.net/,Process,,TRUE,200,795.5933,500ms-1sec,request,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""MessageId"":""7012ee1a953c4c4fad1b045721e9c57e"",""DeveloperMode"":""true""}",,,ddaa324e6491294f9f74e78ef2ac1a37,d912730e18f39d4a,Order Worker,3ae73f32a155,,,
"8/3/2021, 8:22:14.729 AM",d912730e18f39d4a,,Send,,TRUE,,573.9447,500ms-1sec,dependency,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Dependencies', Ver:'1.1')"",""AspNetCoreEnvironment"":""Development"",""DeveloperMode"":""true""}",,POST Market/CreateOrder,ddaa324e6491294f9f74e78ef2ac1a37,66b790deed054f49,Market API,32f38d7ab45e,sb://arcus-observability-new-telemetry-verification.servicebus.windows.net/ | orders,Azure Service Bus,
"8/3/2021, 8:22:13.870 AM",c0f5a5751f563d44,,GET Bacon/Get,http://arcus.api.bacon:999/api/v1/bacon,TRUE,200,614.4743,500ms-1sec,request,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Development"",""DeveloperMode"":""true""}",,GET Bacon/Get,ddaa324e6491294f9f74e78ef2ac1a37,856804f9ff549d4c,Bacon API,c04978ed130c,,,
"8/3/2021, 8:22:13.784 AM",856804f9ff549d4c,,GET /api/v1/bacon,,TRUE,200,686.1562,500ms-1sec,dependency,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Dependencies', Ver:'1.1')"",""AspNetCoreEnvironment"":""Development"",""DeveloperMode"":""true""}",,POST Market/CreateOrder,ddaa324e6491294f9f74e78ef2ac1a37,21b43f8b1a02c240,Market API,32f38d7ab45e,arcus.api.bacon:999,HTTP,http://Arcus.API.Bacon:999/api/v1/bacon
"8/3/2021, 8:22:13.776 AM",21b43f8b1a02c240,,Get Bacon,,TRUE,200,776.4946,500ms-1sec,request,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Development"",""DeveloperMode"":""true""}",,POST Market/CreateOrder,ddaa324e6491294f9f74e78ef2ac1a37,66b790deed054f49,Market API,32f38d7ab45e,,,
"8/3/2021, 8:22:13.494 AM",66b790deed054f49,,POST Market/CreateOrder,http://localhost:787/api/v1/market,TRUE,202,1868.136,1sec-3sec,request,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Development"",""DeveloperMode"":""true""}",,POST Market/CreateOrder,ddaa324e6491294f9f74e78ef2ac1a37,ddaa324e6491294f9f74e78ef2ac1a37,Market API,32f38d7ab45e,,,
"8/3/2021, 8:04:17.909 AM",309d8c44-c75a-40c3-8ffa-6ad36e8e5c88,,POST /api/v1/market,http://localhost:787/api/v1/market,TRUE,202,508.4764,500ms-1sec,request,"{""MessageTemplate"":""{@Request}"",""TransactionId"":""8eff2a23-8b93-4321-92a2-ec5bcfa3ffa0"",""SourceContext"":""Arcus.POC.WebApi.Logging.CustomRequestTrackingMiddleware"",""ComponentName"":""Market API v5"",""TelemetryType"":""Request"",""ConnectionId"":""0HMAMAK785TMH"",""RequestPath"":""/api/v1/market"",""MachineName"":""bfacc9bdb2a9"",""OperationId"":""0HMAMAK785TMH:00000008"",""Accept-Encoding"":""[\""gzip, deflate, br\""]"",""User-Agent"":""[\""PostmanRuntime/7.28.2\""]"",""RequestId"":""0HMAMAK785TMH:00000008"",""ParentId"":""0000000000000000"",""TraceId"":""a622fe032cc3a74e86f33fa1a02b3967"",""Request"":""{\""RequestMethod\"":\""POST\"",\""RequestHost\"":\""http://localhost:787\"",\""RequestUri\"":\""/api/v1/market\"",\""ResponseStatusCode\"":202,\""RequestDuration\"":\""00:00:00.5084764\"",\""RequestTime\"":\""2021-08-03T08:04:17.9093090 +00:00\"",\""Context\"":{\""Cache-Control\"":[\""no-cache\""],\""Connection\"":[\""keep-alive\""],\""Content-Type\"":[\""application/json\""],\""Accept\"":[\""*/*\""],\""Accept-Encoding\"":[\""gzip, deflate, br\""],\""Host\"":[\""localhost:787\""],\""User-Agent\"":[\""PostmanRuntime/7.28.2\""],\""Content-Length\"":[\""21\""],\""Postman-Token\"":[\""38aceaaf-6ca9-43b2-bc04-8567674f7b3b\""],\""TelemetryType\"":\""Request\""},\""_typeTag\"":\""RequestLogEntry\""}"",""version"":""1.0.0"",""Connection"":""[\""keep-alive\""]"",""SpanId"":""f4dbfda96dba5544"",""Content-Length"":""[\""21\""]"",""Cache-Control"":""[\""no-cache\""]"",""Postman-Token"":""[\""38aceaaf-6ca9-43b2-bc04-8567674f7b3b\""]"",""Host"":""[\""localhost:787\""]"",""Content-Type"":""[\""application/json\""]"",""Accept"":""[\""*/*\""]""}",,,0HMAMAK785TMH:00000008,0HMAMAK785TMH:00000008,Market API v5,bfacc9bdb2a9,,,
"8/3/2021, 8:04:17.556 AM",27f8610d-6ffb-48f8-aa30-05ba066a88ec,,GET /api/v1/bacon,http://arcus.api.bacon:999/api/v1/bacon,TRUE,200,141.6166,<250ms,request,"{""MessageTemplate"":""{@Request}"",""TransactionId"":""8eff2a23-8b93-4321-92a2-ec5bcfa3ffa0"",""SourceContext"":""Arcus.POC.WebApi.Logging.CustomRequestTrackingMiddleware"",""ComponentName"":""Bacon API v5"",""TelemetryType"":""Request"",""ConnectionId"":""0HMAMAION8I6R"",""RequestPath"":""/api/v1/bacon"",""MachineName"":""b559e9dd5a88"",""OperationId"":""0HMAMAK785TMH:00000008"",""RequestId"":""0HMAMAION8I6R:00000008"",""ParentId"":""94007c61bfcf224d"",""TraceId"":""a622fe032cc3a74e86f33fa1a02b3967"",""Request"":""{\""RequestMethod\"":\""GET\"",\""RequestHost\"":\""http://arcus.api.bacon:999\"",\""RequestUri\"":\""/api/v1/bacon\"",\""ResponseStatusCode\"":200,\""RequestDuration\"":\""00:00:00.1416166\"",\""RequestTime\"":\""2021-08-03T08:04:17.5569377 +00:00\"",\""Context\"":{\""Host\"":[\""arcus.api.bacon:999\""],\""Request-Id\"":[\""|0HMAMAK785TMH:00000008.6450c418-e2b6-4cc7-aeac-20f5f6e6b44b\""],\""traceparent\"":[\""00-a622fe032cc3a74e86f33fa1a02b3967-94007c61bfcf224d-00\""],\""X-Transaction-ID\"":[\""8eff2a23-8b93-4321-92a2-ec5bcfa3ffa0\""],\""TelemetryType\"":\""Request\""},\""_typeTag\"":\""RequestLogEntry\""}"",""version"":""1.0.0"",""SpanId"":""091dfebaa882ba44"",""OperationParentId"":""|0HMAMAK785TMH:00000008.6450c418-e2b6-4cc7-aeac-20f5f6e6b44b"",""X-Transaction-ID"":""[\""8eff2a23-8b93-4321-92a2-ec5bcfa3ffa0\""]"",""Host"":""[\""arcus.api.bacon:999\""]"",""traceparent"":""[\""00-a622fe032cc3a74e86f33fa1a02b3967-94007c61bfcf224d-00\""]"",""Request-Id"":""[\""|0HMAMAK785TMH:00000008.6450c418-e2b6-4cc7-aeac-20f5f6e6b44b\""]""}",,,0HMAMAK785TMH:00000008,|0HMAMAK785TMH:00000008.6450c418-e2b6-4cc7-aeac-20f5f6e6b44b,Bacon API v5,b559e9dd5a88,,,
